market;category_id;name;path;depth;source_url
CZ;1486;Auta;Heureka.cz | Auto-moto | Auta;3;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5479;Elektrická vozítka pro seniory;Heureka.cz | Auto-moto | Elektromobilita a její příslušenství | Elektrická vozítka pro seniory;4;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6763;Elektrické motorky;Heureka.cz | Auto-moto | Elektromobilita a její příslušenství | Elektrické motorky;4;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6018;Nabíjecí kabely pro elektromobily;Heureka.cz | Auto-moto | Elektromobilita a její příslušenství | Příslušenství pro elektromobily | Nabíjecí kabely pro elektromobily;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6019;Nabíjecí stanice pro elektromobily;Heureka.cz | Auto-moto | Elektromobilita a její příslušenství | Příslušenství pro elektromobily | Nabíjecí stanice pro elektromobily;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6017;Nabíječky pro elektromobily;Heureka.cz | Auto-moto | Elektromobilita a její příslušenství | Příslušenství pro elektromobily | Nabíječky pro elektromobily;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6764;Motorky;Heureka.cz | Auto-moto | Motorky;3;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6328;AdBlue;Heureka.cz | Auto-moto | Náplně a kapaliny | Aditiva | AdBlue;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6327;Aditiva do chladičů;Heureka.cz | Auto-moto | Náplně a kapaliny | Aditiva | Aditiva do chladičů;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6325;Aditiva do olejů;Heureka.cz | Auto-moto | Náplně a kapaliny | Aditiva | Aditiva do olejů;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2975;Aditiva do paliv;Heureka.cz | Auto-moto | Náplně a kapaliny | Aditiva | Aditiva do paliv;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6330;Aditiva do posilovačů řízení;Heureka.cz | Auto-moto | Náplně a kapaliny | Aditiva | Aditiva do posilovačů řízení;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6329;Aditiva do převodovek;Heureka.cz | Auto-moto | Náplně a kapaliny | Aditiva | Aditiva do převodovek;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5816;Ochrana podvozků a dutin;Heureka.cz | Auto-moto | Náplně a kapaliny | Autochemie | Ochrana podvozků a dutin;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5814;Uvolňovače šroubů;Heureka.cz | Auto-moto | Náplně a kapaliny | Autochemie | Uvolňovače šroubů;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5813;Čističe brzd;Heureka.cz | Auto-moto | Náplně a kapaliny | Autochemie | Čističe brzd;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5812;Čističe karburátorů, turba a škrtících klapek;Heureka.cz | Auto-moto | Náplně a kapaliny | Autochemie | Čističe karburátorů, turba a škrtících klapek;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5815;Čističe řetězů motorek;Heureka.cz | Auto-moto | Náplně a kapaliny | Autochemie | Čističe řetězů motorek;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5854;Hydraulické oleje;Heureka.cz | Auto-moto | Náplně a kapaliny | Maziva | Hydraulické oleje;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5856;Maziva na řetězy;Heureka.cz | Auto-moto | Náplně a kapaliny | Maziva | Maziva na řetězy;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5850;Motorové oleje;Heureka.cz | Auto-moto | Náplně a kapaliny | Maziva | Motorové oleje;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5857;Ostatní maziva;Heureka.cz | Auto-moto | Náplně a kapaliny | Maziva | Ostatní maziva;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5853;Plastická maziva;Heureka.cz | Auto-moto | Náplně a kapaliny | Maziva | Plastická maziva;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5851;Převodové oleje;Heureka.cz | Auto-moto | Náplně a kapaliny | Maziva | Převodové oleje;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5855;Silikonové oleje;Heureka.cz | Auto-moto | Náplně a kapaliny | Maziva | Silikonové oleje;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;5852;Tlumičové oleje;Heureka.cz | Auto-moto | Náplně a kapaliny | Maziva | Tlumičové oleje;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2922;Brzdové kapaliny;Heureka.cz | Auto-moto | Náplně a kapaliny | Provozní kapaliny | Brzdové kapaliny;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6189;Chladicí kapaliny;Heureka.cz | Auto-moto | Náplně a kapaliny | Provozní kapaliny | Chladicí kapaliny;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6191;Kapaliny do posilovačů řízení;Heureka.cz | Auto-moto | Náplně a kapaliny | Provozní kapaliny | Kapaliny do posilovačů řízení;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;6190;Vody do ostřikovačů;Heureka.cz | Auto-moto | Náplně a kapaliny | Provozní kapaliny | Vody do ostřikovačů;5;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;2742;Nákladní pneumatiky;Heureka.cz | Auto-moto | Pneumatiky | Nákladní pneumatiky;4;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
CZ;972;Osobní pneumatiky;Heureka.cz | Auto-moto | Pneumatiky | Osobní pneumatiky;4;https://www.heureka.cz/direct/xml-export/shops/heureka-sekce.xml
