market;category_id;name;path;depth;source_url
SK;1486;Automobily;Heureka.sk | Auto-moto | Automobily;3;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;6763;Elektrické motorky;Heureka.sk | Auto-moto | Elektromobilita a jej príslušenstvo | Elektrické motorky;4;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;5479;Elektrické vozidlá pre seniorov;Heureka.sk | Auto-moto | Elektromobilita a jej príslušenstvo | Elektrické vozidlá pre seniorov;4;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;6018;Nabíjacie káble pre elektromobily;Heureka.sk | Auto-moto | Elektromobilita a jej príslušenstvo | Príslušenstvo pre elektromobily | Nabíjacie káble pre elektromobily;5;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;6019;Nabíjacie stanice pre elektromobily;Heureka.sk | Auto-moto | Elektromobilita a jej príslušenstvo | Príslušenstvo pre elektromobily | Nabíjacie stanice pre elektromobily;5;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;6017;Nabíjačky pre elektromobily;Heureka.sk | Auto-moto | Elektromobilita a jej príslušenstvo | Príslušenstvo pre elektromobily | Nabíjačky pre elektromobily;5;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;6764;Motorky;Heureka.sk | Auto-moto | Motorky;3;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;6328;AdBlue;Heureka.sk | Auto-moto | Náplne a kvapaliny | Aditíva | AdBlue;5;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;6327;Aditíva do chladičov;Heureka.sk | Auto-moto | Náplne a kvapaliny | Aditíva | Aditíva do chladičov;5;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;6325;Aditíva do olejov;Heureka.sk | Auto-moto | Náplne a kvapaliny | Aditíva | Aditíva do olejov;5;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;2975;Aditíva do palív;Heureka.sk | Auto-moto | Náplne a kvapaliny | Aditíva | Aditíva do palív;5;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;6330;Aditíva do posilňovačov riadenia;Heureka.sk | Auto-moto | Náplne a kvapaliny | Aditíva | Aditíva do posilňovačov riadenia;5;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;6329;Aditíva do prevodoviek;Heureka.sk | Auto-moto | Náplne a kvapaliny | Aditíva | Aditíva do prevodoviek;5;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;5816;Ochrana podvozkov a dutín;Heureka.sk | Auto-moto | Náplne a kvapaliny | Autochémia | Ochrana podvozkov a dutín;5;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;5814;Uvoľňovače skrutiek;Heureka.sk | Auto-moto | Náplne a kvapaliny | Autochémia | Uvoľňovače skrutiek;5;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
SK;5813;Čističe bŕzd;Heureka.sk | Auto-moto | Náplne a kvapaliny | Autochémia | Čističe bŕzd;5;https://www.heureka.sk/direct/xml-export/shops/heureka-sekce.xml
