kod_lakma;kategorie_excel;kod_lakma_full;kod_pl;kod_celni;ean_ks;ean_krt;nazev_zkraceny;objem;zaruka_dny;karton_ks;vrstva_ks;vrstva_krt;vrstva_pocet;paleta_ks;paleta_krt;hmotnost_vyrobek_kg;hmotnost_karton_kg;hmotnost_paleta_kg;rozmer_karton_delka_m;rozmer_karton_hloubka_m;rozmer_karton_vyska_m;vyrobek_delka_cm;vyrobek_hloubka_cm;vyrobek_vyska_cm
1010101;SIDOLUX EXPERT;01010101;121-01-001-0014;3209100000;5902986200038;5902986201110;SDX EXP LESK PVC,LINOLEUM,DLAŽBA 750ml;750ml;1080;10;150;15;4;600;60;0.83;8.3;498.0;0.26;0.232;0.292;11.5;5.15;27
1010104;SIDOLUX EXPERT;01010104;121-01-003-0030;3209100000;5902986204807;5902986204814;SDX EXP LESK PLOVOUCÍ A DŘEVĚNÉ 750ml;750ml;1080;10;150;15;4;600;60;0.83;8.3;498.0;0.26;0.232;0.292;11.5;5.15;27
1010107;SIDOLUX EXPERT;01010107;121-07-001-0007;3405200000;5902986204197;5902986204203;CLEANLUX ODSTRAŇOVAČ VOSKŮ 750ml;750ml;1080;10;150;15;4;600;60;0.83;8.3;498.0;0.26;0.232;0.292;11.5;5.15;27
1010112;SIDOLUX EXPERT;01010112;121-01-001-0017;3209100000;5902986200571;/;SDX EXP LESK PVC,LINO,DLAŽBA 5000ml;5000ml;1080;1;30;30;3;90;90;5.1;5.1;459.0;-;-;-;19;15.5;24
1010136;SIDOLUX PREMIUM FLOOR CARE;01010136;121-01-011-0038;3402909000;5902986240225;590286240232;SDX PFC VINYL,DLAŽBA MARSEILL 750ml;750ml;1080;10;150;15;4;600;60;0.83;8.3;498.0;0.26;0.232;0.292;11.5;5.15;27
1010139;SIDOLUX PREMIUM FLOOR CARE;01010139;121-01-013-0056;3402909000;5902986201646;5902986201653;SDX PFC DŘEVO,LAMINÁT ARGAN  750ml;750ml;1080;10;150;15;4;600;60;0.83;8.3;498.0;0.26;0.232;0.292;11.5;5.15;27
1010142;SIDOLUX PREMIUM FLOOR CARE;01010142;121-01-011-0032;3402909000;5902986247064;5902986247071;SDX PFC VINYL, DLAŽBA YLANG 750ml;750ml;1080;10;150;15;4;600;60;0.83;8.3;498.0;0.26;0.232;0.292;11.5;5.15;27
1010137;SIDOLUX PREMIUM FLOOR CARE;01010137;121-01-013-0073;3402909000;5902986261725;5902986261732;SDX PFC VINYL, DLAŽBA KOKOS 750ml;750ml;1080;10;150;15;4;600;60;0.83;8.3;498.0;0.26;0.232;0.292;11.5;5.15;27
1010143;SIDOLUX PREMIUM FLOOR CARE;01010143;121-01-011-0052;3402909000;5902986292873;5902986292880;SDX PFC VINYL,DLAŽBA MARSEILL+LEV 750ml;750ml;1080;10;150;15;4;600;60;0.83;8.3;498.0;0.26;0.232;0.292;11.5;5.15;27
1010150;SIDOLUX PREMIUM FLOOR CARE;01010150;121-01-013-0067;3402209000;5902986222023;5902986222030;SDX PFC VINYL,DLAŽBA POMERANČ 1000ml;1000ml;1080;10;120;12;4;480;48;1.1;13.2;633.6;0.26;0.24;0.295;12.5;5.5;29.1
